filename, language, JavaScript, JSON, TypeScript, HTML, CSS, XML, Markdown, Log, comment, blank, total
src/stores/AncillaryEquipmentStore.js, JavaScript, 112, 0, 0, 0, 0, 0, 0, 0, 16, 6, 134
src/stores/ApplianceStore.js, JavaScript, 236, 0, 0, 0, 0, 0, 0, 0, 16, 7, 259
src/stores/GridStore.js, JavaScript, 211, 0, 0, 0, 0, 0, 0, 0, 34, 8, 253
src/stores/MainStore.js, JavaScript, 348, 0, 0, 0, 0, 0, 0, 0, 94, 50, 492
src/stores/initialize.js, JavaScript, 83, 0, 0, 0, 0, 0, 0, 0, 8, 11, 102
src/styles/borderlessTableStyles.module.css, CSS, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
src/styles/index.css, CSS, 0, 0, 0, 0, 55, 0, 0, 0, 15, 11, 81
src/styles/semantic.css, CSS, 0, 0, 0, 0, 28571, 0, 0, 0, 4229, 7902, 40702
src/styles/tableStyles.js, JavaScript, 37, 0, 0, 0, 0, 0, 0, 0, 0, 3, 40
src/styles/themes/default/assets/fonts/brand-icons.svg, XML, 0, 0, 0, 0, 0, 1004, 0, 0, 4, 1, 1009
src/styles/themes/default/assets/fonts/icons.svg, XML, 0, 0, 0, 0, 0, 1514, 0, 0, 4, 1, 1519
src/styles/themes/default/assets/fonts/outline-icons.svg, XML, 0, 0, 0, 0, 0, 362, 0, 0, 4, 1, 367
src/utils/analyzeApplianceFile.js, JavaScript, 71, 0, 0, 0, 0, 0, 0, 0, 6, 6, 83
src/utils/analyzeApplianceFile.test.js, JavaScript, 58, 0, 0, 0, 0, 0, 0, 0, 12, 7, 77
src/utils/analyzeHomerFile.js, JavaScript, 193, 0, 0, 0, 0, 0, 0, 0, 50, 28, 271
src/utils/analyzeHomerFile.test.js, JavaScript, 115, 0, 0, 0, 0, 0, 0, 0, 20, 6, 141
src/utils/calcAncillaryApplianceLabels.js, JavaScript, 12, 0, 0, 0, 0, 0, 0, 0, 5, 3, 20
src/utils/calcAncillaryEquipmentCosts.js, JavaScript, 16, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
src/utils/calcApplianceColumns.js, JavaScript, 27, 0, 0, 0, 0, 0, 0, 0, 0, 2, 29
src/utils/calcApplianceSummaryStats.js, JavaScript, 16, 0, 0, 0, 0, 0, 0, 0, 5, 2, 23
src/utils/calcBatteryDebugData.js, JavaScript, 197, 0, 0, 0, 0, 0, 0, 0, 69, 25, 291
src/utils/calcCombinedEfficiency.js, JavaScript, 11, 0, 0, 0, 0, 0, 0, 0, 4, 4, 19
